S.No,Name,Contact,Property,Address,Price,Remarks
1,malik ASIF javed,0301-4455667,10 marla house,"Bahria Town Phase 7, Rawalpindi",3.2 crore,wants to sell soon
2,Mrs. Sadia Khan,+92 333 1122334,5 marla plot,DHA Phase 2 Islamabad,95 lakh,
3,Ahmed  Raza ,03215558899 / 0512223344,1 kanal house,"Gulberg Greens, Islamabad",Rs 4.5 crore,tenant living
4,,0345 9988776,Flat 2 bed,"Askari 14, Rawalpindi",1.1 crore,owner abroad
5,Sheikh Imran ul Haq,0300-1234567,Commercial shop 400 sq ft,"Saddar, Rawalpindi",,serious seller
6,Bilal Ahmad,03331234567,7 marla,B-17 Islamabad,1.35 crore,duplicate entry maybe
7,Bilal Ahmad,0333-1234567,7 marla plot,B-17 Multi Gardens Islamabad,1.35 crore,
8,Nadia Perveen,0321-7654321,1 kanal plot,"Bahria Enclave, Islamabad",2.75 crore,call after 6pm
9,Hafiz Tariq Mehmood,051-5551234,House 12 marla,"Chaklala Scheme 3, Rawalpindi",5 crore,landline only
10,N/A,not available,plot,,,junk row
11,Usman Ghani,+923009876543,Office 800 sq ft,"Blue Area, Islamabad",2 crore,investor
12,Rukhsana Bibi,0347-1112223,5 marla house,"Ghauri Town, Islamabad",85 lakh,needs urgent sale
13,Kamran Akmal,0303 4455661,Farm house 4 kanal,"Bedian Road, Lahore",12 crore,
14,Zeeshan Ali,0311-2223334,Apartment 3 bed,"Centaurus, Islamabad",4.8 crore,rented out
15,Faisal Mahmood,0322-8887776,File 10 marla,Bahria Town Karachi,45 lakh,file only
16,Mr Shahid,0300 5551112,Upper portion,"Satellite Town, Rawalpindi",,tenant query
17,Ayesha Siddiqui,0335-6667778,8 marla house,"Wapda Town, Lahore",2.4 crore,
18,Junaid Iqbal,0313-4445556,1 kanal,"Model Town, Lahore",8 crore,very serious
19,Tahir Mehmood,0342-3334445,Shop,"Commercial Market, Rawalpindi",1.8 crore,
20,,03451239876,Land 2 acres,"Attock",,agriculture
